分類,職種,事業所名,都道府県,産業分類,就業場所,賃金下限,賃金上限,未経験可,運転免許必須,経験,免許資格,PCスキル,学歴,仕事内容,特記事項,出典ファイル,頁
＜業界外＞介護・看護・給食,看護師／サービス付き高齢者向け住宅カーサ・アルバ壱番館,イッパンザイダンホウジンジュンワリハビリテーションシンコウザイダン 一般財団法人潤和リハビリテーション振興財団,宮崎,病院,〒880-2112 宮崎県宮崎市大字小松１１３３番地 「カーサ・アルバ壱番館」 宮崎駅から車15分,180200,256000,False,False,必要な経験・知識・技能等あれば尚可 実務経験,看護師必須,,,入居者を対象に特定施設入居者生活介護サービスを提供（平均介護 度１．６）。抱えない介護と業務効率化を目指して移乗支援リフト 、シャワーバス、インカム、見守り支援機器、排泄支援機器などを 導入しています。 【仕事内容】 ・利用者の健康管理と評価・内服管理 ・医師指示に基づく医療行為（インシュリン、経管栄養、創傷処置 、喀痰吸引など） ・多職種連携（在宅医師や訪問看護との情報共有） ・生活援助（食事・整容・更衣・入浴・排泄） ・身体機能維持向上のための訓練 「変更範囲：変更なし」 正社員 正社員登用 正社員登用の実績（過去３年間） 就業形態派遣・請負ではない,求人に関する特記事項 ・月１０日程度の携帯当番があります。 ・特別休暇としてリフレッシュ休暇（年３日）、結婚休暇、出産休 暇などあり。 ・産休育休制度、介護休業制度も完備。 ・制服貸与、クリーニングは事業所負担。 ・施設見学可能です。お気軽にお問い合わせ下さい。 ＊月平均所定労働時間：１５７．５時間 ＊お子様の体調不良による急なお休みも相談可能です。 【仕事と子育て両立応援求人】 より労働条件の明示を受けてください。,2026年9月7日求人票（宮崎県住宅リフォーム）_1.pdf,11
設備工事（配管・電気・住宅設備）,住宅や施設などの管工事を行う現場技術者／有資格者賃金優遇,カブシキガイシャイケコウ 株式会社イケコウ,宮崎,その他の設備工事業,〒880-0301 宮崎県宮崎市佐土原町上田島１７０８番地２ 佐土原駅から車10分,250000,450000,False,True,必要な経験・知識・技能等必須 現場職人として５年以上,２級配管技能士あれば尚可 １級配管技能士あれば尚可 その他の建築工事関係資格あれば尚可 給水装置工事主任技術者・下水道排水設備工事責任技術者等 普通自動車運転免許必須 （AT限定可）,,,一般住宅・マンション・店舗・公共施設などの管工事の現場技術者 を募集しています。今までのご経験や資格を考慮し、賃金等待遇面 で優遇します！男女ともに活躍できる環境を整えています。 ＊一般住宅、マンション、店舗、施設、公共工事などの管工事 ※給排水衛生設備や衛生設備、空調設備、配管設備の設置工事、交 換工事、点検、メンテナンス、部品交換、修理対応など ※宮崎県内の現場となります（社用車あり）。 入社後は研修期間を設けています。有給取得率が高く、プライベー トと仕事を両立しやすい環境です。 ・変更範囲：変更なし 正社員 正社員登用 正社員登用の実績（過去３年間） 就業形態派遣・請負ではない,求人に関する特記事項 ＊男女ともに歓迎します。お気軽にご応募ください。 ＊福利厚生が充実しており、安心して働ける環境が整っています。 ＊資格取得支援制度あり！取得費用を会社が負担します。 ＊有資格者賃金等待遇面優遇！ぜひご応募ください。 ・時間単位で有給休暇を取得可能です ・年末年始は５日以上の休暇あり ・副業（Ｗワーク）が可能です（副業可） ・産休・育休取得実績あり ・扶養手当あり（配偶者５０００円、子３０００円※３人まで・学 生又は１８歳未満、６５歳以上の父母２０００円） ・皆勤手当、出張手当、業務手当、営業手当あり ・資格手当あり／資格取得支援制度あり ・慶弔見舞金制度あり ・退職金制度あり ・人間ドック、医療費負担補助あり ・通勤手段は相談可（車通勤可※駐車場あり） ・職場禁煙（喫煙所あり）／エスプレッソマシンあり ・作業服貸与（上下夏用・冬用、安全靴、手袋、ヘルメット） ※オンライン自主応募可 より労働条件の明示を受けてください。,2026年9月7日求人票（宮崎県住宅リフォーム）_1.pdf,12
住宅管理・不動産事務,公営住宅（県営・市営）維持保全業務／宮崎市,イッパンシャダンホウジンミヤザキケンタクチタテモノトリヒキギョウキョウカイ 一般社団法人宮崎県宅地建物取引業協会,宮崎,事業協同組合（他に分類さ,〒885-0078 宮崎県宮崎市昭和町８６－２宅建協会昭和町ビル 「宅建業協会住宅管理部」 宮崎駅から車5分,280000,300000,True,True,必要な経験・知識・技能等不問,一級建築士必須 二級建築士必須 １級建築施工管理技士必須 ２級建築施工管理技士必須 いずれかの免許・資格所持で可 普通自動車運転免許必須 （AT限定可）,パソコン操作（ワード、エクセル表計算）,,・県営住宅、市営住宅等の維持保全業務（修繕内容調査・設計・監 理・検査等） ・県、市の担当部署との協議連絡調整 ＊業務上の外出あり 主に宮崎市内、国富町、西都市、高鍋町 ＊社用車あり 変更範囲：変更なし 正社員以外 正社員以外の名称嘱託職員 正社員登用あありり 正社員登用の実績（過去３年間） ３名 就業形態派遣・請負ではない,求人に関する特記事項 ・駐車場は自己手配、自己負担願います。 ・賞与は、雇用開始から６ヶ月を経過後支給対象になります。 なお、勤務期間が６ヶ月以上１年未満の場合は基準額の５０％を 支給します。 ・通勤手当（上限あり月額１１，３００円まで）は給与規程に基づ き距離（片道）に応じて支給。 ＊書類受付は郵送のみ（持参不可） より労働条件の明示を受けてください。,2026年9月7日求人票（宮崎県住宅リフォーム）_1.pdf,13
住宅管理・不動産事務,公営住宅（県営・市営）維持保全業務（正社員）／宮崎市,イッパンシャダンホウジンミヤザキケンタクチタテモノトリヒキギョウキョウカイ 一般社団法人宮崎県宅地建物取引業協会,宮崎,事業協同組合（他に分類さ,〒885-0078 宮崎県宮崎市昭和町８６－２宅建協会昭和町ビル 「宅建業協会住宅管理部」 宮崎駅から車5分,280000,300000,True,True,必要な経験・知識・技能等不問,一級建築士必須 二級建築士必須 １級建築施工管理技士必須 ２級建築施工管理技士必須 いずれかの免許・資格所持で可 普通自動車運転免許必須 （AT限定可）,パソコン操作（ワード、エクセル表計算）,,・県営住宅、市営住宅等の維持保全業務（修繕内容調査・設計・監 理・検査等） ・県、市の担当部署との協議連絡調整 ＊業務上の外出あり 主に宮崎市内、国富町、西都市、高鍋町 ＊社用車あり 変更範囲：変更なし 正社員 正社員登用 正社員登用の実績（過去３年間） 就業形態派遣・請負ではない,求人に関する特記事項 ・駐車場は自己手配、自己負担願います。 ・賞与は、雇用開始から６ヶ月を経過後支給対象になります。 なお、勤務期間が６ヶ月以上１年未満の場合は基準額の５０％を 支給します。 ・通勤手当（上限あり月額１１，３００円まで）は給与規程に基づ き距離（片道）に応じて支給。 ＊書類受付は郵送のみ（持参不可） より労働条件の明示を受けてください。,2026年9月7日求人票（宮崎県住宅リフォーム）_1.pdf,14
住宅管理・不動産事務,公営住宅維持保全業務に係る事務（正社員）／宮崎市,イッパンシャダンホウジンミヤザキケンタクチタテモノトリヒキギョウキョウカイ 一般社団法人宮崎県宅地建物取引業協会,宮崎,事業協同組合（他に分類さ,〒885-0078 宮崎県宮崎市昭和町８６－２宅建協会昭和町ビル 「宅建業協会住宅管理部」 宮崎駅から車5分,177000,177000,True,True,必要な経験・知識・技能等不問,普通自動車運転免許必須 （AT限定可）,パソコン操作（ワード、エクセル表計算） ＣＡＤソフトの基本操作ができる方歓迎,,・県営住宅、市営住宅等の維持保全業務に係る一般事務 ・県、市の担当部署との協議連絡調整 ＊業務上の外出あり ＊社用車あり 変更範囲：変更なし 正社員 正社員登用 正社員登用の実績（過去３年間） 就業形態派遣・請負ではない,求人に関する特記事項 ・駐車場は自己手配、自己負担願います。 ・賞与は、雇用開始から６ヶ月を経過後支給対象になります。 なお、勤務期間が６ヶ月以上１年未満の場合は基準額の５０％を 支給します。 ・通勤手当（上限あり月額１１，３００円まで）は給与規程に基づ き距離（片道）に応じて支給。 ＊書類受付は郵送のみ（持参不可） より労働条件の明示を受けてください。,2026年9月7日求人票（宮崎県住宅リフォーム）_1.pdf,15
住宅管理・不動産事務,公営住宅維持保全業務に係る事務（嘱託社員）／宮崎市,イッパンシャダンホウジンミヤザキケンタクチタテモノトリヒキギョウキョウカイ 一般社団法人宮崎県宅地建物取引業協会,宮崎,事業協同組合（他に分類さ,〒885-0078 宮崎県宮崎市昭和町８６－２宅建協会昭和町ビル 「宅建業協会住宅管理部」 宮崎駅から車5分,177000,177000,True,True,必要な経験・知識・技能等不問,普通自動車運転免許必須 （AT限定可）,パソコン操作（ワード、エクセル表計算） ＣＡＤソフトの基本操作ができる方歓迎,,・県営住宅、市営住宅等の維持保全業務に係る一般事務 ・県、市の担当部署との協議連絡調整 ＊業務上の外出あり ＊社用車あり 変更範囲：変更なし 正社員以外 正社員以外の名称嘱託職員 正社員登用あありり 正社員登用の実績（過去３年間） ３名 就業形態派遣・請負ではない,求人に関する特記事項 ・駐車場は自己手配、自己負担願います。 ・賞与は、雇用開始から６ヶ月を経過後支給対象になります。 なお、勤務期間が６ヶ月以上１年未満の場合は基準額の５０％を 支給します。 ・通勤手当（上限あり月額１１，３００円まで）は給与規程に基づ き距離（片道）に応じて支給。 ＊書類受付は郵送のみ（持参不可） より労働条件の明示を受けてください。,2026年9月7日求人票（宮崎県住宅リフォーム）_1.pdf,16
＜業界外＞介護・看護・給食,看護職員／住宅型有料老人ホーム国富荘＜急募＞,カブシキガイシャバダン 株式会社バダン （住宅型有料老人ホーム国富荘）,宮崎,老人福祉・介護事業,〒880-1106 宮崎県東諸県郡国富町大字森永２４６６番地１５ 宮崎神宮駅から車30分,209360,214520,False,True,必要な経験・知識・技能等あれば尚可 介護施設での実務経験がない方でも大丈夫です,准看護師必須 看護師あれば尚可 いずれかの免許・資格所持で可 普通自動車運転免許必須 （AT限定可）,,,・住宅型有料老人ホームにおける看護業務 ・施設利用者の体調、お薬管理 病院受診医療機関との調整等 ・夜間コール対応（手当あり） ＊制服あり ＊利用者定員：５０名 ＊社有車あり ＊変更範囲：変更なし 正社員 正社員登用 正社員登用の実績（過去３年間） 就業形態派遣・請負ではない,求人に関する特記事項 ＊月平均所定労働時間は１７２時間です。 ＊応募者本人からの直接の電話連絡はご遠慮下さい。安定所職員の 方から電話連絡をお願いします。 ＊その他業務の詳細については面接時にお問い合せ下さい。 より労働条件の明示を受けてください。,2026年9月7日求人票（宮崎県住宅リフォーム）_1.pdf,17
＜業界外＞介護・看護・給食,介護職員（住宅型有料老人ホーム桜華園）【送迎業務なし】,イリョウホウジンアツキココロオオカエン 医療法人あつきこころ桜華園,宮崎,老人福祉・介護事業,〒882-0836 宮崎県延岡市恒富町３丁目５番地６ 『住宅型有料老人ホーム桜華園』 南延岡駅から車8分,188000,188000,True,False,必要な経験・知識・技能等不問,ホームヘルパー２級必須 介護職員初任者研修修了者必須 介護福祉士あれば尚可 いずれかの免許・資格所持で可,,,入所者に対する訪問介護業務全般を行っていただきます 身体・入浴・食事介助、おむつ交換等 ※調理、送迎などの業務は有りません 「変更範囲：変更なし」 正社員 正社員登用 正社員登用の実績（過去３年間） 就業形態派遣・請負ではない,求人に関する特記事項 ＊昇給・賞与は規定により支給します。 ＊有給休暇は取りやすい環境です。 ＊面接前の見学可能です。ハローワークを通じてご相談下さい。 ＊シニアの方の応募も歓迎します より労働条件の明示を受けてください。,2026年9月7日求人票（宮崎県住宅リフォーム）_1.pdf,18
住宅・リフォーム営業（提案営業）,住宅リフォーム営業（小林店）,カブシキガイシャヤマサキ 株式会社山崎,宮崎,他に分類されない小売業,〒886-0003 宮崎県小林市堤３２３５－１ 小林本店 小林駅から車10分,186000,253000,True,True,必要な経験・知識・技能等不問,普通自動車運転免許必須 （AT限定可）,エクセル、ワードの入力程度,,リフォーム、リノベーション、新築の営業です。 お客様の住環境向上を支える大事な仕事です。 基本的な流れは、ショールームご来店のお客様のお困りごとに寄り 添って、ヒヤリング （例えば「お風呂が壊れた。」「キッチンを入れ替えたい」など） →現場調査→商品や改装の提案→契約となります。 その他に集金業務、アフターフォローがあります。 未経験の方には、丁寧に指導いたします。安心して御応募下さい。 お客様宅や現場訪問のため普通自動車免許が必須です。 変更範囲：変更なし 正社員 正社員登用 正社員登用の実績（過去３年間） 就業形態派遣・請負ではない,求人に関する特記事項 賃金は経験・能力等を考慮の上、決まります 通勤手当は距離に応じて、規程により支給します ショールーム当番、イベントで日曜出勤をお願いすることがありま す（振替休日あり） 『仕事と子育てを両立しやすい求人』 ・子供が病気の時に休みが取れる（時間休を含む） ・学校、保育園等の行事や乳幼児健診等の休みが可能 ・学校、保育園からの急な呼び出し等での対応が可能 「オンライン自主応募可」自主応募の場合、紹介状は不要です より労働条件の明示を受けてください。,2026年9月7日求人票（宮崎県住宅リフォーム）_1.pdf,19
住宅・リフォーム営業（提案営業）,注文住宅営業（宮崎県都城市）※経験者,カブシキガイシャヤマダホームズ 株式会社ヤマダホームズ,宮崎,一般土木建築工事業,〒885-0006 宮崎県都城市吉尾町２－２ テックランド都城店駐車場内 株式会社ヤマダホームズ都城店,275000,349340,False,True,必要な経験・知識・技能等必須 営業経験（２年以上）または 建売・分譲経験（２年以上） リフォーム営業経験者歓迎,普通自動車運転免許必須 （AT限定可）,,,注文住宅、戸建分譲住宅等の営業職です。 ・住宅展示場へご来場されたお客様の接客対応 （主に、土・日がメインになります） ・平日は、アポイントのあるお客様への資料作成および お客様の建設予定地の調査や契約関連の事務作業 ・平日は取引業者等への訪問活動 【変更範囲】会社の定める業務 正社員 正社員登用 正社員登用の実績（過去３年間） 就業形態派遣・請負ではない,求人に関する特記事項 ★昇給：定期での昇給はなし。人事評価による役職の変更で昇給。 ★賞与：歩合としての支給。 個人の営業成績によって金額が変わります。 ＊土日祝日勤務可能な方 ＊通勤手当は会社規定により支給。 ＊マイカー通勤は規定内の車種に限定されます。 応募書類（履歴書・職務経歴書・紹介状）を郵送、またはメールで お送り下さい。 応募前の事前連絡は不要です。 書類選考後、面接日時及び適性検査のご連絡を致します。 なお、不採用の場合は結果を通知の上、応募書類は当方の責任で破 棄致します。 ※メールアドレスをお持ちの方は必ず履歴書にご記入下さい。 ※応募の際は、必ず紹介状（表裏）の添付をお願いいたします。 ※お問い合わせはメールにてお願いいたします。 ＊応募にはハローワークの紹介状が必要となります。 より労働条件の明示を受けてください。,2026年9月7日求人票（宮崎県住宅リフォーム）_1.pdf,20
事務・営業事務・広報,住宅メーカー向けプレゼン資料作成（契約社員）,パーソルビジネスプロセスデザインカブシキガイシャミヤザキダイイチアウトソーシングセンター パーソルビジネスプロセスデザイン株式会社宮崎第１アウトソー シングセンター,宮崎,他に分類されない事業サー,〒880-0811 宮崎県宮崎市錦町１－１０宮崎グリーンスフィア壱番館６Ｆ 宮崎駅から徒歩1分,180000,200000,False,False,必要な経験・知識・技能等あれば尚可 営業事務やインテリアデザイナーなどでの資料作成経験 住宅メーカーでの勤務経験,不不問問,・パソコンの基本操作（タッチタイプなど） ・パワーポイント、フォトショップの実務使用経験,,土日祝休み、業務習得後は在宅ワーク可能！ 住宅メーカー向けの提案資料作成業務となります。 パワーポイントやフォトショップにて、住宅設備の提案資料作成・ 修正を行います。（キッチン・バス・洗面・建材など） 提案書や仕様書の作成、画像加工や編集がメインとなります。 約１か月の研修後、習熟に応じて在宅勤務へ移行します。 ※資料には納期があり、スピード感をもった対応が必要となります 。 変更範囲：変更なし 管理番号【Ｓ０１７７２４３】 正社員以外 正社員以外の名称契約社員 正社員登用あありり 正社員登用の実績（過去３年間） ２０２５年：２３名、２０２４年：約２１名（宮崎のみ） 就業形態派遣・請負ではない,求人に関する特記事項 本ポンジョンにおいては、派遣としての勤務や 受託事業への従事は想定していません。 ＊応募書類はメールで送付をお願いいたします。 ※入社手続きの都合上、郵送でお送りいただいた場合、 ご希望の入社日に間に合わなくなる可能性がございます。 予めご了承ください。 ＊現在、会社説明会は２通りの方法がございます。 【１】職場見学会社説明会※随時開催しております。 【２】ＺＯＯＭを使用し会社説明会と選考を行っております。 ・選考方法：その他はＷｅｂ適性検査・タイピングテストになりま す。 ＊残業代（時間外手当）は別途支給 ＊車通勤可（駐車場は自己手配・駐車場代は一部会社補助あり） ＊年間休日数は、当該雇用期間内の休日を年間に換算 オンライン自主応募可 オンライン自主応募の場合は紹介状を不要とする より労働条件の明示を受けてください。,2026年9月7日求人票（宮崎県住宅リフォーム）_1.pdf,21
＜業界外＞介護・看護・給食,【正社員】介護職／住宅型施設および訪問,シャカイフクシホウジンタイジュカイソーシャルワークニチナン 社会福祉法人大樹会ＳｏｃｉａｌＷｏｒｋ日南,宮崎,障害者福祉事業,〒889-3202 宮崎県日南市南郷町中村甲３５２８番地４ 住宅型有料老人ホーム「南風の丘」 ＪＲ日南線南郷駅から車5分,167500,218000,True,True,必要な経験・知識・技能等不問,介護福祉士あれば尚可 普通自動車運転免許必須 （AT限定可）,,,＜訪問介護及びサービス付き高齢者向け住宅における介護業務＞ 利用者は併設するサービス付き高齢者向け住宅入居者及び在宅者。 受診時の付き添いなどでの送迎有り。 （エリアは日南市内。ＡＴ軽〜普通社用車）【介護】 ※応募について経験・資格は問いません。 （介護福祉士あれば尚可。有資格者には手当を支給します） ※夜勤は月４〜５回程度。１名体制。別に宿直者も勤務する為、 仮眠は入居者の状況をみながら取ることができます。 【変更範囲：変更なし】 正社員 正社員登用 正社員登用の実績（過去３年間） 就業形態派遣・請負ではない,求人に関する特記事項 ＊マイカー通勤をする場合、任意保険への加入は必須です。 ＊昇給・賞与は会社業績等により変動します。 ＊退職金共済には試用期間終了後加入します。 ＊宿直は月４〜５回程度。勤務１回につき４５００円の手当を支給 します。 ●希望により職場見学も可能。 ハローワークを通じてお申込み下さい。 ●令和７年４月より年次公休１０８日から１２０日へ増加しました また、職員の大事な希望日に取得できるアニバーサリー休暇を１日 付与します。（年間休日は１２１日になります） より労働条件の明示を受けてください。,2026年9月7日求人票（宮崎県住宅リフォーム）_1.pdf,22
